feature_name,definition,required_coordinate_assumption,supporting_evidence,remaining_uncertainty,safe_to_implement_now,requires_normalization,computable_every_season,non_coordinate_alternative
mean_lateral_shot_position,Mean coord_x across a player's shot attempts in a season-team.,coord_x is the lateral axis (Section 6).,"Section 6: coord_x near-symmetric, wing zones H/I separated by coord_x sign.","Low-medium; axis identity well supported, but interpretation (which side is 'left') is not established.",True,False,True,None direct; this is inherently spatial.
lateral_position_std,Standard deviation of coord_x across a player's shot attempts.,coord_x is the lateral axis.,Same as mean_lateral_shot_position.,Low-medium.,True,False,True,None direct.
mean_longitudinal_shot_position,Mean coord_y across a player's shot attempts.,coord_y is distance-from-basket-like (Section 6).,Section 6: |coord_y| grows much more than |coord_x| between 2PT and 3PT.,Low-medium; absolute scale (Section 12) is only moderately confident.,True,False,True,two_points_attempted / three_points_attempted ratio (euroleague_players.csv) as a coarse proxy.
longitudinal_position_std,Standard deviation of coord_y across a player's shot attempts.,coord_y is distance-from-basket-like.,Same as mean_longitudinal_shot_position.,Low-medium.,True,False,True,None direct.
mean_raw_shot_distance_from_basket,"Mean of sqrt(coord_x^2 + coord_y^2) using the (0,0) basket estimate (Section 5), in raw coordinate units.","Basket at (0,0) (Section 5, medium-high confidence).","Section 5: (0,0) best-separates 2PT/3PT distance; Section 12: raw-unit distance is reliable in relative terms.","Basket location is an estimate, not a documented constant; absolute physical-unit meaning is only moderately supported.",True,False,True,two_points_percentage vs three_points_percentage mix as a coarse proxy.
shot_distance_std,"Standard deviation of raw shot distance from (0,0).",Same as mean_raw_shot_distance_from_basket.,Same as above.,Same as above.,True,False,True,None direct.
median_shot_distance,"Median of raw shot distance from (0,0); more robust to outliers than the mean.",Same as mean_raw_shot_distance_from_basket.,Same as above.,Same as above.,True,False,True,None direct.
paint_attempt_share,Share of a player's shot attempts with zone == 'A' (or an equivalent coord_y-based rim-proximity threshold).,zone 'A' / low raw distance = rim-adjacent (Section 10).,Section 10: zone A spatially coincides with the near-basket coordinate cluster.,Exact zone boundary rule is undocumented (Section 10).,True,False,True,"None direct (dunk-rate proxy only available E2008-E2014, Section 8)."
rim_area_attempt_share,"Share of attempts within a fixed small raw-distance radius of (0,0) (coordinate-threshold version of paint_attempt_share, not dependent on zone).","Basket at (0,0); raw distance meaningful.","Section 5, Section 11 (DUNK/near-basket clustering).",Threshold choice is arbitrary without a documented court scale.,True,False,True,paint_attempt_share (zone-based) as an alternative definition.
mid_range_attempt_share,Share of two-point attempts outside the rim area but not a corner/wing three.,Same as rim_area_attempt_share plus a defined mid-range distance band.,"Section 4, Section 10 zones B-G occupy an intermediate distance band.",Band boundaries are not independently confirmed.,True,False,True,None direct.
corner_three_share,Share of three-point attempts with low coord_y (near-baseline) -- approximating a corner three.,"Low coord_y at high |coord_x| == corner (Section 5, Section 12).",Section 12: corner-area distance tightly clustered near the external 675cm reference.,"The coord_y<250 cutoff is a working definition, not a verified corner boundary.",True,False,True,None direct.
above_the_break_three_share,"Share of three-point attempts with higher coord_y (the arc portion, excluding corners).",Same as corner_three_share (complementary region).,Same as corner_three_share.,Same as corner_three_share.,True,False,True,None direct.
spatial_spread,"A combined dispersion measure (e.g. generalized variance or the determinant/trace of the covariance matrix of (coord_x, coord_y)) over a player's shot attempts.",Both axes carry the meanings established in Section 6.,"Sections 2, 6.",Requires enough shot attempts per player-season-team to be statistically stable; low-volume players may need a minimum attempt-count threshold (not yet defined).,False,True,True,shooting-percentage variance across shot types (two_points_percentage vs three_points_percentage).
zone_entropy,Shannon entropy of a player's shot-attempt distribution across the 10 zone values.,zone is a reliable categorical proxy for shot region (Section 10).,Section 10: zone spatially coherent and near-complete for shot attempts.,"Zone missingness, though small, and undocumented zone boundary rule (Section 10).",False,True,True,"action-type entropy (2FGM/3FGM/etc. share), though coarser than zone-based entropy."
