question,decision,evidence,confidence,remaining_uncertainty,consequence_for_next_task
1. What does coord_x most likely represent?,Lateral (left-right) offset from the basket's centerline.,"Section 2 (near-symmetric range), Section 6 (near-zero median/skew on made shots; three-point wing zones H/I separated by coord_x sign).",high,Which sign corresponds to which physical side of the court is not determined.,Safe to use directly as a lateral-position feature input.
2. What does coord_y most likely represent?,Longitudinal distance from the basket toward half-court.,"Section 2 (right-skewed, asymmetric range), Section 6 (|coord_y| grows far more than |coord_x| between 2PT and 3PT shots).",high,"The small negative-coord_y tail (~3.8% of shots, Section 2/9) is plausible (under-the-rim/reverse angles) but not confirmed.",Safe to use directly as a longitudinal/distance-related feature input.
3. Where is the basket most likely located?,"Approximately (coord_x=0, coord_y=0).","Section 5: DUNK-attempt median is exactly (0,0); this candidate minimizes 2PT/3PT distance-separation error (~0.35%) versus alternatives (~1.9% and a rejected sentinel-based candidate).",medium-high,Not confirmed against authoritative coordinate documentation (none exists in this project).,"Safe to use (0,0) as the basket for a provisional distance feature, with this caveat documented."
4. Is the data represented as a normalized half-court?,"Yes -- a single, shared per-shot basket reference, not two mirrored halves.","Section 7 (no bimodal coord_y clustering for near-basket shots), Section 9 (both teams in a game share the same coordinate footprint, median coord_y difference centered near zero across all games).",high,None material found; tested at both the dataset level (Section 7) and the individual-game level (Section 9).,No per-team/per-game mirroring correction is needed before computing coordinate-derived features.
5. Does the convention remain stable across seasons?,"The coord_x/coord_y numeric convention (scale, sign, range) is stable across all 19 seasons; the action_id taxonomy and zone completeness are NOT stable (schema changes across three eras).",Section 8: per-season coordinate ranges/medians/distance patterns are consistent; action_id count per season is 7 / 10 / 7 / 5 across three distinct eras.,high (coordinates); high (schema instability of action_id/zone availability),"Smaller/rarer zones show more season-to-season noise (Section 10), likely a sample-size effect.",Coordinate-only features may use one formula for all seasons; action-type-specific features (e.g. dunk rate) cannot cover all seasons and must be documented as such.
6. Does the convention remain stable across games and teams?,Yes -- no evidence of team-specific or game-specific mirroring.,Section 9: sampled per-game team comparison and the full-dataset median-coord_y-difference-per-game distribution both center near zero.,high,Home/away status itself was not determined (Section 9) and was not needed for this conclusion.,No per-game/per-team normalization step is required.
7. Can Euclidean shot distance be calculated reliably?,"Yes, in RELATIVE (raw-unit) terms, using the (0,0) basket estimate.","Section 5 (clean 2PT/3PT separation), Section 6 (axis roles), Section 9 (shared single-basket frame).",medium-high,"Reliability is relative/comparative, not an exact physical measurement (see decision 8).","Safe to compute a provisional raw-unit distance feature; label it as raw-unit, not as a confirmed physical distance."
8. Can raw units be converted to physical units?,"Only a provisional, moderately-confident centimeter interpretation is supported; NOT a confirmed physical-unit conversion.","Section 12: corner-three median raw distance closely matches the FIBA/EuroLeague 675cm three-point radius under a 1:1 raw-unit-to-cm scale; alternative scales (0.5x, 2x, inches) do not match.",medium,"Single external reference point only; corner-shot subset is coordinate-approximated, not independently verified.",Relative/comparative distance features are safe now; do not report coordinate-derived distances in cm as a confirmed physical measurement without further evidence.
9. Can zone support coordinate interpretation?,"Yes, as corroborating (not primary) evidence.","Section 10: zone regions are spatially coherent with coord_x/coord_y and consistent with the basket/axis conclusions above; zone missingness is structural (tied to FTM, not shot-attempt data quality).",high,Exact zone boundary rule is undocumented.,"zone may be used as a categorical feature in its own right, and as a cross-check for coordinate-based features, but coordinate-derived features should be computed from coord_x/coord_y directly."
10. Which coordinate-derived features are safe for the next notebook?,11 of 13 proposed features (Section 13) -- all except spatial_spread and zone_entropy.,Section 13 feature-by-feature evaluation.,high (for the 11); medium (pending threshold decision for the other 2),See proposed_coordinate_features.csv per-feature notes.,Feature Engineering can proceed directly with the 11 safe features; the other 2 need a minimum-sample-size decision first.
11. Which proposed features must be postponed?,"spatial_spread and zone_entropy, pending a defined minimum shot-attempt count per player-season-team.",Section 13.,high,The minimum-count threshold itself is undefined.,Feature Engineering should propose and justify a minimum-attempt threshold before implementing these two.
12. What limitations must be documented in the final research?,"(a) Basket location and axis roles are strong empirical estimates, not documented facts; (b) physical-unit (cm) conversion is only moderately supported; (c) action_id taxonomy (dunk/layup/blocked-shot granularity) is only available for E2008-E2014; (d) zone boundary rules are undocumented; (e) 93 shot-attempt rows share the FTM sentinel coordinate (-1,-1) and warrant manual review; (f) home/away status cannot be inferred from `game`.","Sections 1, 5, 6, 8, 9, 10, 11, 12.",high (that these are the right caveats to document),N/A -- this is itself the uncertainty inventory.,Carry all six caveats into docs/project-state.md and any future methods write-up.
13. Is the coordinate question sufficiently resolved to begin Feature Engineering?,"Yes, for the 11 features marked safe in Section 13, under the documented caveats above; NOT fully resolved for physical-unit distance or for the two postponed distributional features.",Synthesis of all sections above.,medium-high,See decisions 8 and 11.,"Feature Engineering may proceed on coordinate-derived inputs restricted to the 11 safe features, explicitly carrying forward the caveats from decision 12."
